FLIGHT_DATE,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_CD,ARRIVAL_STATION_CD,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX
7/18/2025,12:44,Lunchtime,BA,BA1347,LHR,CDG,France,Europe,SHORT,A320,0,16,164,0,9,35
6/16/2025,16:12,Afternoon,BA,BA5108,LHR,DFW,USA,North America,LONG,B787,0,31,173,0,4,19
6/24/2025,14:45,Afternoon,BA,BA6065,LHR,HND,Japan,Asia,LONG,B777,8,49,178,2,18,59
7/12/2025,14:12,Afternoon,BA,BA2483,LHR,IST,Turkey,Europe,SHORT,A320,0,2,178,0,10,38
8/17/2025,12:52,Lunchtime,BA,BA6693,LHR,AMS,Netherlands,Europe,SHORT,A320,0,15,165,1,1,12
4/30/2025,22:45,Evening,BA,BA3863,LHR,LAX,USA,North America,LONG,B787,8,48,200,0,11,41
7/28/2025,15:22,Afternoon,BA,BA8347,LHR,ORD,USA,North America,LONG,B777,8,49,178,0,2,15
7/17/2025,20:49,Evening,BA,BA4445,LHR,DXB,UAE,Middle East,LONG,B777,0,32,304,0,12,43
7/22/2025,10:01,Morning,BA,BA3246,LHR,VIE,Austria,Europe,SHORT,A320,0,3,177,0,14,48
10/9/2025,16:27,Afternoon,BA,BA6147,LHR,IST,Turkey,Europe,SHORT,A320,0,20,160,0,3,17
5/29/2025,7:39,Morning,BA,BA4911,LHR,AMS,Netherlands,Europe,SHORT,A320,0,1,179,0,13,45
8/22/2025,6:05,Morning,BA,BA6683,LHR,JFK,USA,North America,LONG,A380,14,97,358,0,10,37
8/13/2025,6:21,Morning,BA,BA2044,LHR,HND,Japan,Asia,LONG,A380,14,97,358,0,12,43
10/19/2025,18:56,Evening,BA,BA4882,LHR,BCN,Spain,Europe,SHORT,A320,0,1,179,1,18,60
6/26/2025,19:35,Evening,BA,BA4939,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,2,6,26
6/15/2025,12:00,Lunchtime,BA,BA9219,LHR,IST,Turkey,Europe,SHORT,A320,0,11,169,0,4,19
7/9/2025,22:57,Evening,BA,BA1322,LHR,MUC,Germany,Europe,SHORT,A320,0,7,173,0,3,16
8/3/2025,12:50,Lunchtime,BA,BA8768,LHR,BCN,Spain,Europe,SHORT,A320,0,12,168,0,3,18
6/18/2025,12:33,Lunchtime,BA,BA4012,LHR,DFW,USA,North America,LONG,B787,0,31,173,1,7,29
9/16/2025,20:32,Evening,BA,BA3154,LHR,AMS,Netherlands,Europe,SHORT,A320,0,8,172,0,10,36
7/21/2025,9:28,Morning,BA,BA6745,LHR,ORD,USA,North America,LONG,B777,8,49,178,0,9,35
5/17/2025,22:39,Evening,BA,BA5525,LHR,DFW,USA,North America,LONG,B787,0,35,179,0,12,43
8/6/2025,11:17,Morning,BA,BA2973,LHR,HND,Japan,Asia,LONG,B777,0,48,224,0,8,31
6/1/2025,6:20,Morning,BA,BA4172,LHR,HND,Japan,Asia,LONG,A380,14,97,358,0,16,53
7/6/2025,22:05,Evening,BA,BA1888,LHR,IST,Turkey,Europe,SHORT,A320,0,1,179,2,6,26
5/13/2025,18:52,Evening,BA,BA2154,LHR,BCN,Spain,Europe,SHORT,A320,0,12,168,2,23,73
5/17/2025,13:10,Lunchtime,BA,BA4411,LHR,BCN,Spain,Europe,SHORT,A320,0,12,168,0,11,40
9/27/2025,9:34,Morning,BA,BA1212,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,0,3,17
5/27/2025,19:30,Evening,BA,BA6356,LHR,DXB,UAE,Middle East,LONG,B787,0,35,179,0,2,14
6/28/2025,10:16,Morning,BA,BA3877,LHR,MUC,Germany,Europe,SHORT,A320,0,0,180,0,10,38
6/15/2025,19:58,Evening,BA,BA7908,LHR,CDG,France,Europe,SHORT,A320,0,2,178,2,7,27
10/30/2025,17:15,Afternoon,BA,BA4742,LHR,JFK,USA,North America,LONG,B777,0,32,304,0,12,41
5/1/2025,10:09,Morning,BA,BA9486,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,19,161,0,10,38
8/1/2025,17:21,Afternoon,BA,BA6214,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,7,29
9/3/2025,18:41,Evening,BA,BA7197,LHR,LAX,USA,North America,LONG,B777,8,49,178,1,3,17
10/29/2025,16:49,Afternoon,BA,BA1100,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,0,7
9/22/2025,6:25,Morning,BA,BA6292,LHR,ORD,USA,North America,LONG,B777,0,32,304,0,5,23
9/29/2025,21:49,Evening,BA,BA1360,LHR,HND,Japan,Asia,LONG,A380,14,97,358,0,12,44
9/9/2025,6:35,Morning,BA,BA6502,LHR,VIE,Austria,Europe,SHORT,A320,0,7,173,0,9,34
8/3/2025,12:13,Lunchtime,BA,BA2093,LHR,FRA,Germany,Europe,SHORT,A320,0,14,166,3,1,11
5/4/2025,13:48,Lunchtime,BA,BA9221,LHR,CDG,France,Europe,SHORT,A320,0,3,177,0,9,33
9/30/2025,6:56,Morning,BA,BA8604,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,10,170,0,10,36
5/24/2025,15:50,Afternoon,BA,BA3701,LHR,BCN,Spain,Europe,SHORT,A320,0,19,161,0,3,17
10/3/2025,14:09,Afternoon,BA,BA9265,LHR,MUC,Germany,Europe,SHORT,A320,0,1,179,1,9,33
6/8/2025,19:37,Evening,BA,BA8424,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,10,170,0,8,31
6/6/2025,14:27,Afternoon,BA,BA1658,LHR,ORD,USA,North America,LONG,B787,8,48,200,0,2,12
7/16/2025,8:02,Morning,BA,BA7914,LHR,HND,Japan,Asia,LONG,B787,8,42,166,0,10,36
4/21/2025,19:54,Evening,BA,BA7749,LHR,BCN,Spain,Europe,SHORT,A320,0,0,180,1,11,39
7/11/2025,15:09,Afternoon,BA,BA9928,LHR,DFW,USA,North America,LONG,B777,0,48,224,1,14,47
8/18/2025,6:51,Morning,BA,BA7502,LHR,DFW,USA,North America,LONG,B787,8,42,166,2,14,47
5/23/2025,7:12,Morning,BA,BA1020,LHR,MUC,Germany,Europe,SHORT,A320,0,5,175,0,0,9
4/3/2025,8:00,Morning,BA,BA7522,LHR,DFW,USA,North America,LONG,B787,8,42,166,0,3,16
6/24/2025,7:55,Morning,BA,BA2567,LHR,AMS,Netherlands,Europe,SHORT,A320,0,10,170,3,11,38
4/18/2025,16:28,Afternoon,BA,BA9012,LHR,ORD,USA,North America,LONG,B787,0,35,179,0,11,38
9/29/2025,17:45,Afternoon,BA,BA3925,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,0,11,38
4/11/2025,22:17,Evening,BA,BA2744,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,14,166,1,29,90
10/12/2025,16:51,Afternoon,BA,BA5772,LHR,MUC,Germany,Europe,SHORT,A320,0,14,166,0,11,39
4/22/2025,12:01,Lunchtime,BA,BA3005,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,15,165,0,14,48
6/25/2025,14:21,Afternoon,BA,BA2271,LHR,VIE,Austria,Europe,SHORT,A320,0,8,172,1,13,45
4/9/2025,6:36,Morning,BA,BA5265,LHR,MUC,Germany,Europe,SHORT,A320,0,15,165,1,11,40
10/14/2025,18:33,Evening,BA,BA5931,LHR,VIE,Austria,Europe,SHORT,A320,0,8,172,0,6,25
9/5/2025,8:14,Morning,BA,BA4342,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,10,170,0,12,42
10/11/2025,20:01,Evening,BA,BA4991,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,8,172,0,4,18
4/5/2025,10:24,Morning,BA,BA2007,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,8,172,0,6,27
5/8/2025,14:12,Afternoon,BA,BA6479,LHR,HND,Japan,Asia,LONG,B787,8,42,166,0,5,23
10/11/2025,13:27,Lunchtime,BA,BA3426,LHR,ORD,USA,North America,LONG,B787,0,31,173,0,8,32
7/25/2025,14:21,Afternoon,BA,BA2983,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,3,20,66
4/10/2025,11:37,Morning,BA,BA1260,LHR,VIE,Austria,Europe,SHORT,A320,0,10,170,1,0,1
8/10/2025,22:28,Evening,BA,BA2782,LHR,MUC,Germany,Europe,SHORT,A320,0,12,168,1,12,41
8/30/2025,12:36,Lunchtime,BA,BA2188,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,0,5
6/5/2025,21:37,Evening,BA,BA5015,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,5,23
7/18/2025,10:57,Morning,BA,BA8479,LHR,AMS,Netherlands,Europe,SHORT,A320,0,8,172,3,14,47
8/19/2025,8:47,Morning,BA,BA5485,LHR,JFK,USA,North America,LONG,B787,8,42,166,0,8,31
6/14/2025,22:33,Evening,BA,BA8720,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,8,172,0,2,13
